index,Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
87,Ethanol_2,1,0,-72.50928498172624,-69.17643160550138,2.4241207950049244,1.4359806059181257,2.403511002906474,,,,,,2.9489483271477783,10.20475423898406,30.250471446174387,,,,,,17
88,Monochrome_Television,0,1,-79.64910091029174,-78.65336863673774,,2.4249037501834367,,,,,,,4.103633168569454,13.917236871217897,,,,,,,21
89,Monochrome_Television,0,0,-69.44473206000883,-67.35568718456199,3.2306144812277364,2.4249037501834367,,,,,,,4.103633168569454,18.80019728987875,,,,,,,21
90,Monochrome_Television,1,0,-88.31194064631687,-84.13385089542318,2.8515496392807798,2.4249037501834367,3.4092396596407726,,,,,,4.103633168569454,11.074808469031606,26.95613865436408,,,,,,21
91,Monochrome_Television,2,0,-92.39795658365284,-86.13082195731229,2.8815488308073145,2.4249037501834367,3.3632081024372145,3.918189734724205,,,,,4.103633168569454,11.768998079379624,22.823809384951097,39.68639754484565,,,,,21
92,Polyvinylchloride,0,1,-85.05505634342354,-84.01053390570011,,2.485690702244294,,,,,,,4.266466386437016,14.56889462368115,,,,,,,22
93,Polyvinylchloride,0,0,-46.63691462325444,-44.45482971653781,0.8051521655816565,2.485690702244294,,,,,,,4.266466386437016,23.571431053787062,,,,,,,22
94,Polyvinylchloride,1,0,-101.109026861083,-96.74485704764976,-0.2254813059479877,2.485690702244294,3.301258511300869,,,,,,4.266466386437016,2.5886934147789087,34.495335128637905,,,,,,22
95,Nuclear_Electricity,0,1,-34.512701469227295,-33.56826249006085,,4.071279266590245,,,,,,,5.033857537699912,-85.40073317757944,,,,,,,20
96,Nuclear_Electricity,0,0,-42.72831440786342,-40.73684986075544,-4.620083616873173,4.071279266590245,,,,,,,5.033857537699912,-104.09040499439178,,,,,,,20
97,Nuclear_Electricity,1,0,-41.702739693659,-37.71981059944304,-5.196615400840916,4.071279266590245,4.6629904904058215,,,,,,5.033857537699912,-123.77038554327746,-72.87837195471457,,,,,,20
98,PolyethyleneLD,0,1,-51.96107904882962,-51.32202171921436,,2.9845443890474828,,,,,,,4.533373386035311,17.101551170892492,,,,,,,15
99,PolyethyleneLD,0,0,-56.665008374785046,-55.24890797258063,2.698613874092932,2.9845443890474828,,,,,,,4.533373386035311,22.67984901036689,,,,,,,15
100,PolyethyleneLD,1,0,-56.17437570806119,-53.34217490365235,2.555163507907296,2.9845443890474828,4.065193697605594,,,,,,4.533373386035311,20.45661075968904,27.992618093776013,,,,,,15
101,Solar_Thermal_Electricity,0,1,-9.48991930620237,-9.880481393768273,,1.4027714750855362,,,,,,,2.455270830077084,-2.775900104235185,,,,,,,6
102,Solar_Thermal_Electricity,0,0,-13.298949071259898,-13.715430132803789,0.8352592359786768,1.4027714750855362,,,,,,,2.455270830077084,4.708184761515966,,,,,,,6
103,Solar_Thermal_Electricity,1,0,-14.961967939970457,-15.794930063058237,0.4948553370895981,1.4027714750855362,2.01508845252612,,,,,,2.455270830077084,-10.127298143841546,23.59357502239061,,,,,,6
104,Polypropylene,0,1,-33.4366658657413,-33.35722432406146,,1.4928115977940668,,,,,,,3.3731150557557097,12.078849206521848,,,,,,,9
105,Polypropylene,0,0,-37.806563999915696,-37.41211484524326,-0.0445172053235866,1.4928115977940668,,,,,,,3.3731150557557097,14.165166515769334,,,,,,,9
106,Polypropylene,1,0,-35.561145756427734,-34.772247447082854,-0.0194738029374862,1.4928115977940668,3.158283401131821,,,,,,3.3731150557557097,14.86844026368892,3.653903064611719,,,,,,9
107,Polypropylene,2,0,-53.317013714992825,-52.13366625097551,-0.1838671150512334,1.4928115977940668,2.323154240212097,3.043362554852889,,,,,3.3731150557557097,9.397957937184689,20.67045116280377,1.610626605769594,,,,,9
108,Polypropylene,3,0,-53.41050239425674,-51.83270577556698,-0.2471264753733225,1.4928115977940668,1.9791576222833192,2.426813681624996,3.043362554852889,,,,3.3731150557557097,6.904499494003868,14.06165720787974,20.67045116280376,1.6106266057695715,,,,9
109,Laser_Diode,0,1,-18.84423713044697,-18.4463418576486,,-0.0124024199352916,,,,,,,3.924324359678968,17.06698902882673,,,,,,,12
110,Laser_Diode,0,0,-17.230452029104697,-16.260638729528697,3.555480287125348,-0.0124024199352916,,,,,,,3.924324359678968,21.985403377442047,,,,,,,12
111,Laser_Diode,1,0,-25.203731320030087,-23.264104720878088,3.456065735566728,-0.0124024199352916,2.1527570558683906,,,,,,3.924324359678968,15.094638922725212,29.31918494643873,,,,,,12
112,Laser_Diode,2,0,-30.48521740093828,-27.57577750221028,3.456065735566728,-0.0124024199352916,2.4443846251494907,3.3561077687611105,,,,,3.924324359678968,15.094638922725212,38.32853003610551,12.964952879369896,,,,,12
