,Scenario,Learning rate assumptions,Net Present Cost [trillion USD]
235,no transition,Technology-specific - Way et al. (2022),189.1609258654497
236,no transition,Technology-specific - Way et al. (2022),175.1151222665949
237,no transition,Technology-specific - Way et al. (2022),167.8355856915687
238,no transition,Technology-specific - Way et al. (2022),198.92936934355043
239,no transition,Technology-specific - Way et al. (2022),165.90427557868048
240,no transition,Technology-specific - Way et al. (2022),160.40483910770158
241,no transition,Technology-specific - Way et al. (2022),194.4671821011986
242,no transition,Technology-specific - Way et al. (2022),166.003106012875
243,no transition,Technology-specific - Way et al. (2022),176.8762944509016
244,no transition,Technology-specific - Way et al. (2022),167.62784027473828
245,no transition,Technology-specific - Way et al. (2022),187.0714166387345
246,no transition,Technology-specific - Way et al. (2022),176.40758627766715
247,no transition,Technology-specific - Way et al. (2022),201.5973447395196
248,no transition,Technology-specific - Way et al. (2022),186.40473781611925
249,no transition,Technology-specific - Way et al. (2022),164.71685063602834
250,no transition,Technology-specific - Way et al. (2022),190.40059086008296
251,no transition,Technology-specific - Way et al. (2022),174.41791838158989
252,no transition,Technology-specific - Way et al. (2022),195.92197211318663
253,no transition,Technology-specific - Way et al. (2022),182.3524036180472
254,no transition,Technology-specific - Way et al. (2022),160.34904751148719
255,no transition,Technology-specific - Way et al. (2022),206.64941689343982
256,no transition,Technology-specific - Way et al. (2022),182.05843610114263
257,no transition,Technology-specific - Way et al. (2022),166.20116536338045
258,no transition,Technology-specific - Way et al. (2022),180.31281904672534
259,no transition,Technology-specific - Way et al. (2022),174.08861989055424
260,no transition,Technology-specific - Way et al. (2022),188.19991526388614
261,no transition,Technology-specific - Way et al. (2022),148.29141820562572
262,no transition,Technology-specific - Way et al. (2022),192.488972652444
263,no transition,Technology-specific - Way et al. (2022),172.8881720340685
264,no transition,Technology-specific - Way et al. (2022),186.114405353672
265,no transition,Technology-specific - Way et al. (2022),181.2488980255595
266,no transition,Technology-specific - Way et al. (2022),189.23018680596167
267,no transition,Technology-specific - Way et al. (2022),214.9710851558828
268,no transition,Technology-specific - Way et al. (2022),188.22765211889643
269,no transition,Technology-specific - Way et al. (2022),152.6959740440403
270,no transition,Technology-specific - Way et al. (2022),169.11736547886255
271,no transition,Technology-specific - Way et al. (2022),184.27098932842776
272,no transition,Technology-specific - Way et al. (2022),187.9646587368487
273,no transition,Technology-specific - Way et al. (2022),221.41337045861994
274,no transition,Technology-specific - Way et al. (2022),185.56507420008674
275,no transition,Technology-specific - Way et al. (2022),166.3857259613912
276,no transition,Technology-specific - Way et al. (2022),170.35748975912153
277,no transition,Technology-specific - Way et al. (2022),183.8921205653982
278,no transition,Technology-specific - Way et al. (2022),199.95710457211416
279,no transition,Technology-specific - Way et al. (2022),182.10430876748
280,no transition,Technology-specific - Way et al. (2022),175.14994607447824
281,no transition,Technology-specific - Way et al. (2022),178.9423082825925
282,no transition,Technology-specific - Way et al. (2022),170.73636756098355
283,no transition,Technology-specific - Way et al. (2022),180.62348391492714
284,no transition,Technology-specific - Way et al. (2022),174.67391218845563
285,no transition,Technology-specific - Way et al. (2022),156.79925742794626
286,no transition,Technology-specific - Way et al. (2022),200.35691430423424
287,no transition,Technology-specific - Way et al. (2022),167.93517174278492
288,no transition,Technology-specific - Way et al. (2022),168.7649372729281
289,no transition,Technology-specific - Way et al. (2022),192.58051285623736
290,no transition,Technology-specific - Way et al. (2022),198.38197519922912
291,no transition,Technology-specific - Way et al. (2022),172.66669830393107
292,no transition,Technology-specific - Way et al. (2022),176.01789911675837
293,no transition,Technology-specific - Way et al. (2022),174.48212070408624
294,no transition,Technology-specific - Way et al. (2022),185.43621215570508
295,no transition,Technology-specific - Way et al. (2022),170.1747610238945
296,no transition,Technology-specific - Way et al. (2022),173.66285763354665
297,no transition,Technology-specific - Way et al. (2022),169.30261949008036
298,no transition,Technology-specific - Way et al. (2022),179.97633255616742
299,no transition,Technology-specific - Way et al. (2022),194.53581888192292
300,no transition,Technology-specific - Way et al. (2022),181.38269073239306
301,no transition,Technology-specific - Way et al. (2022),183.03849151172514
302,no transition,Technology-specific - Way et al. (2022),175.38429547610667
303,no transition,Technology-specific - Way et al. (2022),235.5866662368572
304,no transition,Technology-specific - Way et al. (2022),177.95484414378197
305,no transition,Technology-specific - Way et al. (2022),173.42492290423309
306,no transition,Technology-specific - Way et al. (2022),182.20650323291332
307,no transition,Technology-specific - Way et al. (2022),166.4126017039277
