,iter,scenario,cost
2620,873,slow transition,194.40604441765237
2621,873,fast transition,181.62296241297906
2622,874,no transition,187.1014083027412
2623,874,slow transition,235.34740816629318
2624,874,fast transition,192.37719375535488
2625,875,no transition,169.43369806168775
2626,875,slow transition,244.79064130130746
2627,875,fast transition,349.7362141076362
2628,876,no transition,197.65304928554787
2629,876,slow transition,214.20162552746513
2630,876,fast transition,556.1382941925435
2631,877,no transition,182.71003407680044
2632,877,slow transition,164.01955258158193
2633,877,fast transition,188.54260249935302
2634,878,no transition,169.099899038382
2635,878,slow transition,219.90501228088377
2636,878,fast transition,171.9207052067402
2637,879,no transition,212.57244319017124
2638,879,slow transition,311.2624545108907
2639,879,fast transition,282.35944964036463
2640,880,no transition,181.35849335624073
2641,880,slow transition,206.15319829492265
2642,880,fast transition,315.5396793338722
2643,881,no transition,183.11111185923286
2644,881,slow transition,203.45123893872687
2645,881,fast transition,183.0225862277939
2646,882,no transition,202.34565937702905
2647,882,slow transition,251.33481601728417
2648,882,fast transition,215.49895939692576
2649,883,no transition,182.84199244045055
2650,883,slow transition,246.4183892984259
2651,883,fast transition,207.02012226647327
2652,884,no transition,207.423166298429
2653,884,slow transition,224.06663907157218
2654,884,fast transition,262.68402925627686
2655,885,no transition,191.06688546109268
2656,885,slow transition,215.3050659742726
2657,885,fast transition,286.24171435219563
2658,886,no transition,176.02760229290405
2659,886,slow transition,245.9213065606375
2660,886,fast transition,303.1029934066903
2661,887,no transition,161.8737803453824
2662,887,slow transition,222.31720090570593
2663,887,fast transition,254.7450561028137
2664,888,no transition,167.393570047889
2665,888,slow transition,171.34379803703862
2666,888,fast transition,173.5309758279247
2667,889,no transition,182.0332878540687
2668,889,slow transition,193.74349926786425
2669,889,fast transition,381.4009340977317
2670,890,no transition,173.37037940786794
2671,890,slow transition,192.26559464848256
2672,890,fast transition,205.09341173964654
2673,891,no transition,210.8771912161317
2674,891,slow transition,193.396183714594
2675,891,fast transition,158.20462367755528
2676,892,no transition,204.72932534618874
2677,892,slow transition,280.18796146231773
2678,892,fast transition,273.60379586723553
2679,893,no transition,176.1608689539133
2680,893,slow transition,256.436222218897
2681,893,fast transition,254.16348735394044
2682,894,no transition,209.88483320636266
2683,894,slow transition,206.65839742108867
2684,894,fast transition,176.7210174336528
2685,895,no transition,182.7922202926547
2686,895,slow transition,228.78426916223663
2687,895,fast transition,239.72611704677973
2688,896,no transition,181.4623951538057
2689,896,slow transition,234.95338777950886
2690,896,fast transition,212.28962249494418
