Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Titanium_Sponge,1,0,-42.108360906264195,-41.319462596919315,0.8297253568441357,2.8240889861252847,3.833489569085946,,,,,,4.729188638049377,1.5768114925514554,30.902041494794965,,,,,,9
Titanium_Sponge,2,0,-39.37832628205217,-38.194978818034855,0.8297253568441355,2.8240889861252847,3.6592777425639684,4.101087556566515,,,,,4.729188638049377,1.576811492551622,18.4624584753891,32.44846864203835,,,,,9
Wind_Electricity,0,1,-31.69472714693692,-31.392142053942873,,3.7278706520395737,,,,,,,7.138969926599091,3.5095430109206793,,,,,,,11
Wind_Electricity,0,0,-27.49575501041248,-26.69996446481574,1.8980082798170141,3.7278706520395737,,,,,,,7.138969926599091,8.260536539511055,,,,,,,11
Wind_Electricity,1,0,-25.26815890503258,-23.676577813839096,1.8387370764111288,3.7278706520395737,6.862678534643687,,,,,,7.138969926599091,7.389452299697319,26.141075117848168,,,,,,11
Milk_(US),0,1,-224.34035680718284,-222.70277064745645,,5.81109776828194,,,,,,,6.703464572619577,10.73320488389422,,,,,,,39
Milk_(US),0,0,-119.09018619102972,-115.76306289877043,4.733527491246677,5.81109776828194,,,,,,,6.703464572619577,23.66396304463837,,,,,,,39
Milk_(US),1,0,-222.05171725096284,-215.39747066644426,3.30034113012788,5.81109776828194,6.46407588747157,,,,,,6.703464572619577,10.258338197443727,52.50243676234862,,,,,,39
HydrofluoricAcid,0,1,-31.20179355436595,-31.59235564193185,,2.3850895644788612,,,,,,,3.1100207347064646,3.7974277231241693,,,,,,,6
HydrofluoricAcid,0,0,-44.58146613735494,-44.99794719889883,1.3071235299037924,2.3850895644788612,,,,,,,3.1100207347064646,4.060211517287893,,,,,,,6
Transistor,0,1,-28.90110776742597,-28.067894423369754,,0.5431479942360623,,,,,,,5.6616995958527845,44.49249444484417,,,,,,,18
Transistor,0,0,-26.824289174918494,-25.043545659126167,0.9049577793205199,0.5431479942360623,,,,,,,5.6616995958527845,45.02956962583191,,,,,,,18
Transistor,1,0,-40.71975230342355,-37.158265271838886,1.1141830721715762,0.5431479942360623,2.6988231489248786,,,,,,5.6616995958527845,49.860158907032925,41.697184027965896,,,,,,18
Transistor,2,0,-37.181433918417554,-31.83920337104057,1.112198750917382,0.5431479942360623,1.9512771711307395,4.499387732148703,,,,,5.6616995958527845,50.07614198246093,45.307670487063845,36.20194903837199,,,,,18
CarbonDisulfide,0,1,-21.8811063417405,-22.49481198062061,,2.964880919887962,,,,,,,3.5742533959740874,3.2124830924731285,,,,,,,5
CarbonDisulfide,0,0,-30.754511024323037,-31.535635199454838,0.7772351106639713,2.964880919887962,,,,,,,3.5742533959740874,3.495890673821511,,,,,,,5
Primary_Aluminum,0,1,-64.8987478467455,-63.95430886757905,,2.6877544477235684,,,,,,,3.7979771339012567,15.914775718702801,,,,,,,20
Primary_Aluminum,0,0,-62.89086897559912,-60.89940442849114,0.9573404728098165,2.6877544477235684,,,,,,,3.7979771339012567,26.119075589333917,,,,,,,20
Primary_Aluminum,2,0,-67.48620662982364,-61.5118129884997,-0.4591244977892586,2.6877544477235684,2.974971216870886,3.3473635548410363,,,,,3.7979771339012567,-4.191643042808191,38.79166482126738,19.957084954120717,,,,,20
Acrylonitrile,0,1,-16.915888993122408,-17.124129523894354,,2.5303838557017677,,,,,,,3.3908898709416206,17.40795240196058,,,,,,,7
Acrylonitrile,0,0,-18.316966271914016,-18.42514597380339,2.12155287016723,2.5303838557017677,,,,,,,3.3908898709416206,18.107003732414118,,,,,,,7
Acrylonitrile,1,0,-29.793269647453116,-30.00962905123186,2.733023994591529,2.5303838557017677,3.1071803026897116,,,,,,3.3908898709416206,29.733173855219853,-17.594463985220333,,,,,,7
Photovoltaics_4,0,1,-43.80063247645156,-43.235683118990025,,0.3209608969751543,,,,,,,2.152758852144069,31.816501285549137,,,,,,,14
Photovoltaics_4,0,0,-33.85541669235622,-32.577302033125704,1.9391478937217197,0.3209608969751543,,,,,,,2.152758852144069,30.548127168297246,,,,,,,14
Photovoltaics_4,1,0,-66.78215835164053,-64.2259290331795,2.2398474540558944,0.3209608969751543,0.7556065613240173,,,,,,2.152758852144069,51.69806087157538,25.47143191550495,,,,,,14
Photovoltaics_4,2,0,-64.41500380464757,-60.58065982695602,2.201779082522885,0.3209608969751543,0.8437228201712846,1.8943914416598469,,,,,2.152758852144069,48.70687273466358,23.569060567440836,33.349196936841786,,,,,14
Photovoltaics_4,3,0,-72.99320251597192,-67.88074387904985,2.239847454055897,0.3209608969751543,0.7231118656384944,1.188963273618604,1.8191221172478924,,,,2.152758852144069,51.69806087157547,30.11345651383338,20.98357528221809,33.34919693684179,,,,14
PolyesterFiber,0,1,-18.209958410866406,-18.600520498432306,,2.054367295134734,,,,,,,2.963190661961214,11.221304401934129,,,,,,,6
PolyesterFiber,0,0,-22.446229299854934,-22.862710361398825,2.490808419979744,2.054367295134734,,,,,,,2.963190661961214,11.429445687850059,,,,,,,6
Geothermal_Electricity,0,1,-67.94254966978406,-67.45764301999606,,6.749824565866473,,,,,,,8.08543949080135,10.836553603020471,,,,,,,13
Geothermal_Electricity,0,0,-65.97227583532157,-64.8423771203985,2.6492216980857637,6.749824565866473,,,,,,,8.08543949080135,14.433761660549338,,,,,,,13
Solar_Thermal,0,1,-3.4478211079183936,-4.349208819250284,,1.843819745203394,,,,,,,2.2523535870463482,-2.3065680496256347,,,,,,,4
Solar_Thermal,0,0,-7.201468757024703,-8.428880034784921,4.008194295021079,1.843819745203394,,,,,,,2.2523535870463482,5.549186755960179,,,,,,,4
Cyclohexane,0,1,-32.64391052544832,-32.698000376393004,,1.9777825815576695,,,,,,,2.8102411914780943,10.786535104879624,,,,,,,8
Cyclohexane,0,0,-35.762016338274236,-35.60313325491457,1.1184959687944354,1.9777825815576695,,,,,,,2.8102411914780943,10.828611764106844,,,,,,,8
DRAM,0,1,-18.671733715692582,-17.838520371636367,,-2.168832446932043,,,,,,,3.03535078909289,35.76290166334607,,,,,,,18
DRAM,0,0,-16.029680225320018,-14.248936709527689,-0.02649054621208607,-2.168832446932043,,,,,,,3.03535078909289,36.54470885544898,,,,,,,18
DRAM,1,0,-27.82840523080133,-24.266918199216672,-0.05536057802451798,-2.168832446932043,2.481169221876608,,,,,,3.03535078909289,38.37439751720733,-13.55221552965018,,,,,,18
DRAM,2,0,-26.87653912039469,-21.534308573017704,-0.34100404823486913,-2.168832446932043,-1.297375971349731,2.524449192795484,,,,,3.03535078909289,45.30344367093755,37.24022484322925,-13.552215529650336,,,,,18
DRAM,3,0,-33.04261589290505,-25.91964182973573,-0.34100404823487396,-2.168832446932043,-1.0774476291133297,1.8685953691556232,2.321673105615171,,,,3.03535078909289,45.303443670937625,35.48988739070149,56.973058047172195,-13.552215529650136,,,,18
DRAM,4,0,-29.915590884147093,-21.011873305185446,0.1969413220714296,-2.168832446932043,-1.8450648601645614,-1.2822450419793945,1.8685953691556212,2.3216731056151714,,,3.03535078909289,34.43072272268948,51.884288338187936,35.48988739070145,56.97305804717215,-13.552215529650468,,,18
SodiumHydrosulfite,0,1,-14.260546879103387,-15.161934590435278,,1.8741373791721359,,,,,,,2.2572959883556867,0.8664163965300453,,,,,,,4
SodiumHydrosulfite,0,0,-21.67885462843176,-22.90626590619198,1.4070354683565562,1.8741373791721359,,,,,,,2.2572959883556867,1.3300149284016682,,,,,,,4
EthylAlcohol,0,1,-32.871720300630884,-32.92581015157557,,2.9467213439105575,,,,,,,3.420491742523151,-5.496858272179295,,,,,,,8
EthylAlcohol,0,0,-39.75882881107851,-39.59994572771884,0.5154861161229194,2.9467213439105575,,,,,,,3.420491742523151,-6.013850256788578,,,,,,,8
Ethanol_2,0,1,-33.598930610635094,-33.65302046157978,,1.4359806059181257,,,,,,,2.3855416758895376,7.278509192320836,,,,,,,8
