Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
Capillary_DNA_Sequencing,0,1,-3.0870171808320954,-3.9884048921639854,,1.0368405273060124,,,,,,,1.655189385730889,46.95945303244719,,,,,,,4
Capillary_DNA_Sequencing,0,0,-6.714140759369069,-7.941552037129288,1.749206838346835,1.0368405273060124,,,,,,,1.655189385730889,48.69392297337918,,,,,,,4
Refined_Cane_Sugar,0,1,-62.123464439259635,-61.415414238157425,,2.190598558183,,,,,,,2.477259152867094,16.717685113977588,,,,,,,16
Refined_Cane_Sugar,0,0,-76.21145818603192,-74.66628074155236,-0.6215314782184915,2.190598558183,,,,,,,2.477259152867094,10.379983441363061,,,,,,,16
SCGT,0,1,-9.9149906604784,-11.221843479918455,,1.1574338424381236,,,,,,,2.4259608503495933,15.080683664790984,,,,,,,3
SCGT,0,0,-18.383622992321996,-20.186398414985778,3.3088095754601325,1.1574338424381236,,,,,,,2.4259608503495933,15.09849289429267,,,,,,,3
Automotive_(US),0,1,-60.67470691877041,-60.27681164597204,,3.6754201162275533,,,,,,,4.416691951526992,47.413014630656534,,,,,,,12
Automotive_(US),0,0,-63.974260826431276,-63.00444752685527,3.963576382007095,3.6754201162275533,,,,,,,4.416691951526992,45.0805907814152,,,,,,,12
Photovoltaics,0,1,-41.88038317391345,-41.315433816451915,,0.8636215653733168,,,,,,,2.3081481079614896,30.366462592552434,,,,,,,14
Photovoltaics,0,0,-43.77442915820834,-42.496314498977824,1.7620118681787396,0.8636215653733168,,,,,,,2.3081481079614896,30.2335962830638,,,,,,,14
Solar_Water_Heaters,0,1,-9.36304138643662,-9.97674702531673,,1.7006455194827932,,,,,,,3.259319855691428,-9.04653899036878,,,,,,,5
Solar_Water_Heaters,0,0,-17.3806678853868,-18.1617920605186,-0.36750827630585314,1.7006455194827932,,,,,,,3.259319855691428,-10.787423485055747,,,,,,,5
Wind_Turbine_(Denmark),0,1,-40.63838861252526,-40.44116403518904,,0.9752174480080621,,,,,,,3.0407784494935113,3.833372102610777,,,,,,,10
Wind_Turbine_(Denmark),0,0,-41.423424203505206,-40.81825401751711,4.152452633630628,0.9752174480080621,,,,,,,3.0407784494935113,5.518800698306425,,,,,,,10
Wind_Turbine_(Denmark),1,0,-44.67831375480095,-43.467973382824766,4.08924200755893,0.9752174480080621,2.357271459911848,,,,,,3.0407784494935113,2.443296478693713,11.744384873672352,,,,,,10
Wind_Turbine_(Denmark),2,0,-59.7993442748875,-57.98383371692323,4.089242007558933,0.9752174480080621,2.561599347367245,2.8902698216355454,,,,,3.0407784494935113,2.443296478693724,22.042554621668152,-16.119816286707533,,,,,10
CCGT_Power,0,1,-10.412225324443718,-10.802787412009618,,3.172013698328195,,,,,,,4.1029816313505645,-1.2591856522446099,,,,,,,6
CCGT_Power,0,0,-18.295091182517965,-18.711572244061855,2.413564543874564,3.172013698328195,,,,,,,4.1029816313505645,-6.293610677180594,,,,,,,6
CCGT_Electricity,0,1,-24.053519866719107,-24.444081954285007,,2.030741013606202,,,,,,,2.68693544891244,2.6222541745953953,,,,,,,6
CCGT_Electricity,0,0,-33.252937935156964,-33.669418996700855,0.673277266974864,2.030741013606202,,,,,,,2.68693544891244,1.783821950041864,,,,,,,6
Corn_(US),0,1,-29.68713130175246,-28.979081100650248,,2.9508888636773367,,,,,,,3.6441765072755983,11.618648816493094,,,,,,,16
Corn_(US),0,0,-45.08284577482759,-43.537668330348026,1.4247983139950857,2.9508888636773367,,,,,,,3.6441765072755983,8.604297365060598,,,,,,,16
Hard_Disk_Drive,0,1,-9.719261856578102,-9.522037279241882,,3.135616361610583,,,,,,,5.81128753994511,45.41501436420475,,,,,,,10
Hard_Disk_Drive,0,0,-9.171662616440617,-8.566492430452525,4.551019576440661,3.135616361610583,,,,,,,5.81128753994511,50.24000859076826,,,,,,,10
Hard_Disk_Drive,1,0,-21.864841794929546,-20.654501422953363,2.1749187487369235,3.135616361610583,3.757554398472226,,,,,,5.81128753994511,20.685548430770428,54.23534644173389,,,,,,10
Hard_Disk_Drive,2,0,-28.80800983341733,-26.992499275453056,2.3119932329225086,3.135616361610583,3.920314736136546,4.51239709818383,,,,,5.81128753994511,22.96196773401271,63.3619508486559,50.65970432162024,,,,,10
Hard_Disk_Drive,3,0,-59.08854092147389,-56.667860177521526,2.311993232922509,3.135616361610583,3.9109714858119538,4.721759640036156,5.434230518152584,,,,5.81128753994511,22.96196773401271,62.340475578205165,42.76589863988044,61.651679917259685,,,,10
Electric_Range,0,1,-57.18985398995703,-56.99262941262081,,0.6901960800285137,,,,,,,1.2227164711475833,4.645962489124711,,,,,,,10
Electric_Range,0,0,-68.14002843495811,-67.53485824897002,2.514940369959903,0.6901960800285137,,,,,,,1.2227164711475833,3.9966046609235195,,,,,,,10
Nuclear_Power_(OECD),0,1,-56.94201654812022,-56.86257500644039,,1.8756399370041683,,,,,,,2.281260687055013,4.515312562105489,,,,,,,9
Nuclear_Power_(OECD),0,0,-70.36625028220183,-69.97180112752939,0.6236856477936003,1.8756399370041683,,,,,,,2.281260687055013,4.436126988347045,,,,,,,9
Wheat_(US),0,1,-195.44709266190875,-193.1985974198594,,3.573036381305641,,,,,,,4.663996816440017,-18.648957605143757,,,,,,,71
Wheat_(US),0,0,-244.63605620401103,-240.11069644992838,2.054771302443092,3.573036381305641,,,,,,,4.663996816440017,2.9780290174870383,,,,,,,71
Offshore_Gas_Pipeline,0,1,9.828401830467072,9.437839742901172,,1.8660550665256193,,,,,,,2.8205696985162234,-58.733605991437024,,,,,,,6
Offshore_Gas_Pipeline,0,0,7.090988910826259,6.674507849282369,0.9762642848475256,1.8660550665256193,,,,,,,2.8205696985162234,14.343389273081675,,,,,,,6
Wind_Power,0,1,-10.467073819778747,-10.387632278098911,,1.4351743816206133,,,,,,,3.203369619754297,10.873717678514572,,,,,,,9
Wind_Power,0,0,-15.767960411214172,-15.373511256541732,0.889036952745558,1.4351743816206133,,,,,,,3.203369619754297,14.196346462554764,,,,,,,9
Ford_Model-T,0,1,-10.92471862366807,-11.826106334999961,,-1.8239087409443189,,,,,,,-0.5228787452803376,10.672781599192483,,,,,,,4
Ford_Model-T,0,0,-18.849173499504136,-20.076584777264355,3.1525829146853166,-1.8239087409443189,,,,,,,-0.5228787452803376,11.621723529551897,,,,,,,4
Beer_(Japan),0,1,-31.716355641048096,-31.770445491992785,,2.6503815030236098,,,,,,,3.545069012136807,9.000182790856194,,,,,,,8
Beer_(Japan),0,0,-43.225305280102084,-43.066422196742415,2.1573092339144373,2.6503815030236098,,,,,,,3.545069012136807,7.292966643954113,,,,,,,8
Free_Standing_Gas_Range,0,1,-44.57107346754755,-44.37384889021133,,1.5403294747908738,,,,,,,1.7474118078864234,14.772914885446065,,,,,,,10
Free_Standing_Gas_Range,0,0,-52.66448038669583,-52.059310200707735,2.5199972012399368,1.5403294747908738,,,,,,,1.7474118078864234,17.82987528452338,,,,,,,10
