Tech,Normalized cumulative production,Normalized unit cost
Onshore_Gas_Pipeline,12.676099242730869,0.7065353933638866
Titanium_Sponge,1.0,1.0
Titanium_Sponge,9.620689655172415,0.9794520547945206
Titanium_Sponge,28.155172413793103,0.9691780821917809
Titanium_Sponge,66.79310344827586,0.9554794520547946
Titanium_Sponge,159.3793103448276,0.7602739726027398
Titanium_Sponge,286.9655172413793,0.5804794520547946
Titanium_Sponge,538.6896551724138,0.43321917808219174
Titanium_Sponge,836.1034482758621,0.3458904109589041
Titanium_Sponge,913.6896551724138,0.2910958904109589
Titanium_Sponge,980.8965517241379,0.2654109589041096
Titanium_Sponge,1072.4655172413793,0.23972602739726026
Titanium_Sponge,1188.448275862069,0.2226027397260274
Titanium_Sponge,1304.4827586206898,0.2106164383561644
Titanium_Sponge,1440.3275862068965,0.2071917808219178
Titanium_Sponge,1578.2586206896551,0.20376712328767124
Titanium_Sponge,1736.0172413793102,0.19863013698630136
Titanium_Sponge,2013.603448275862,0.19178082191780824
Titanium_Sponge,2344.8275862068967,0.18493150684931509
Wind_Electricity,1.0,1.0
Wind_Electricity,3.4325337331334334,0.8695516811955168
Wind_Electricity,5.5922038980509745,0.7858032378580324
Wind_Electricity,7.1622938530734634,0.6699875466998755
Wind_Electricity,8.489505247376313,0.5977584059775841
Wind_Electricity,8.815967016491754,0.529576587795766
Wind_Electricity,800.4362818590705,0.4551681195516812
Wind_Electricity,1845.6386806596702,0.400373599003736
Wind_Electricity,2951.69227886057,0.36052303860523044
Wind_Electricity,4033.972263868066,0.3150684931506849
Wind_Electricity,5160.594077961019,0.2823785803237858
Wind_Electricity,6452.613943028486,0.25155666251556663
Wind_Electricity,7638.615817091454,0.22696139476961397
Wind_Electricity,8850.785607196402,0.21575342465753425
Wind_Electricity,10083.182533733134,0.1964508094645081
Wind_Electricity,11217.251499250375,0.18679950186799504
Wind_Electricity,12899.409670164918,0.1824408468244085
Wind_Electricity,14995.834332833583,0.1718555417185554
Wind_Electricity,17521.071214392803,0.1665628891656289
Wind_Electricity,21401.985382308845,0.162826899128269
Wind_Electricity,25595.188905547227,0.15815691158156914
Wind_Electricity,30896.441154422788,0.150373599003736
Milk_(US),1.0,1.0
Milk_(US),2.0286647097585813,1.035480438511887
Milk_(US),3.0651270991832904,1.0562033589560578
Milk_(US),4.111094470736237,1.1056825962843513
Milk_(US),5.125701391800955,1.0656364821446331
Milk_(US),6.136154875297031,1.0331242114541472
Milk_(US),7.158639349827273,1.0211826699986795
Milk_(US),8.176111743445356,0.9782500323728729
Milk_(US),9.23251263004453,0.9718619766255052
Milk_(US),10.298747978194452,0.9647538674907413
Milk_(US),11.391141995646878,0.9410686802421135
Milk_(US),12.540206473771441,0.9415271771738914
Milk_(US),13.723666606761316,0.9698867528984343
Milk_(US),14.89199065476547,0.9753967406244618
Milk_(US),16.060374608119172,0.9316608244473314
Milk_(US),17.25676431238643,0.9126947098355677
Milk_(US),18.431877633339322,0.8905811525187943
Milk_(US),19.59817488368378,0.8843756149178051
Milk_(US),20.72310749016554,0.8459121242692791
Milk_(US),21.88230595658859,0.8392325160105432
Milk_(US),23.046486551249025,0.8362239142052124
Milk_(US),24.19148744982927,0.8297908853330193
Milk_(US),25.336388506160265,0.8045847407330837
Milk_(US),26.5367020108229,0.7882279467389204
Milk_(US),27.755715968769344,0.7632945510395718
Milk_(US),28.98322650212664,0.7321733359517504
Milk_(US),30.22985682621458,0.7075449607992675
Milk_(US),31.47417081012001,0.6771636350419915
Milk_(US),32.704427005331574,0.6543836632574234
Milk_(US),33.92239261966093,0.6344882729254825
Milk_(US),35.15154056590587,0.611634099855085
Milk_(US),36.40662752850496,0.5949479262835599
