,Scenario,Learning rate assumptions,Net Present Cost [trillion USD]
394,no transition,Technology-specific - Way et al. (2022),184.9637180498976
395,no transition,Technology-specific - Way et al. (2022),163.15516977506218
396,no transition,Technology-specific - Way et al. (2022),177.00493337459193
397,no transition,Technology-specific - Way et al. (2022),185.5847546432531
398,no transition,Technology-specific - Way et al. (2022),191.44796473694575
399,no transition,Technology-specific - Way et al. (2022),217.98110573647887
400,no transition,Technology-specific - Way et al. (2022),168.9471672141535
401,no transition,Technology-specific - Way et al. (2022),175.12635794794656
402,no transition,Technology-specific - Way et al. (2022),173.71363358591935
403,no transition,Technology-specific - Way et al. (2022),179.09707452922805
404,no transition,Technology-specific - Way et al. (2022),156.54699842308332
405,no transition,Technology-specific - Way et al. (2022),165.30209535691264
406,no transition,Technology-specific - Way et al. (2022),188.1561133111983
407,no transition,Technology-specific - Way et al. (2022),187.98011204953937
408,no transition,Technology-specific - Way et al. (2022),175.43286876378903
409,no transition,Technology-specific - Way et al. (2022),165.2536753555281
410,no transition,Technology-specific - Way et al. (2022),174.48195022763937
411,no transition,Technology-specific - Way et al. (2022),206.96342667635474
412,no transition,Technology-specific - Way et al. (2022),201.06249248522707
413,no transition,Technology-specific - Way et al. (2022),179.32383383840184
414,no transition,Technology-specific - Way et al. (2022),164.66530199483373
415,no transition,Technology-specific - Way et al. (2022),177.82175778357146
416,no transition,Technology-specific - Way et al. (2022),157.72372764953218
417,no transition,Technology-specific - Way et al. (2022),178.10258248796626
418,no transition,Technology-specific - Way et al. (2022),200.25316353388408
419,no transition,Technology-specific - Way et al. (2022),163.9860170640843
420,no transition,Technology-specific - Way et al. (2022),184.24017658257375
421,no transition,Technology-specific - Way et al. (2022),178.8248867058268
422,no transition,Technology-specific - Way et al. (2022),170.72570785298086
423,no transition,Technology-specific - Way et al. (2022),159.09272470898108
424,no transition,Technology-specific - Way et al. (2022),158.8679304339673
425,no transition,Technology-specific - Way et al. (2022),168.99956639833138
426,no transition,Technology-specific - Way et al. (2022),166.79329037720842
427,no transition,Technology-specific - Way et al. (2022),151.19890698400312
428,no transition,Technology-specific - Way et al. (2022),176.04751529615052
429,no transition,Technology-specific - Way et al. (2022),172.98904480725443
430,no transition,Technology-specific - Way et al. (2022),162.47577997197374
431,no transition,Technology-specific - Way et al. (2022),178.0267635231028
432,no transition,Technology-specific - Way et al. (2022),168.2468584382267
433,no transition,Technology-specific - Way et al. (2022),193.09547498645557
434,no transition,Technology-specific - Way et al. (2022),174.29367878171755
435,no transition,Technology-specific - Way et al. (2022),175.92036173533856
436,no transition,Technology-specific - Way et al. (2022),174.68287840631461
437,no transition,Technology-specific - Way et al. (2022),196.0396903132675
438,no transition,Technology-specific - Way et al. (2022),173.21297458338998
439,no transition,Technology-specific - Way et al. (2022),168.0695709561604
440,no transition,Technology-specific - Way et al. (2022),165.6368874442813
441,no transition,Technology-specific - Way et al. (2022),215.90317616060463
442,no transition,Technology-specific - Way et al. (2022),180.76944596198769
443,no transition,Technology-specific - Way et al. (2022),162.72371083647383
444,no transition,Technology-specific - Way et al. (2022),197.33681115018706
445,no transition,Technology-specific - Way et al. (2022),182.39986353369437
446,no transition,Technology-specific - Way et al. (2022),169.92090938016128
447,no transition,Technology-specific - Way et al. (2022),185.52076532005543
448,no transition,Technology-specific - Way et al. (2022),200.64034186962306
449,no transition,Technology-specific - Way et al. (2022),157.41424336219
450,no transition,Technology-specific - Way et al. (2022),180.48489505186745
451,no transition,Technology-specific - Way et al. (2022),179.18397328592968
452,no transition,Technology-specific - Way et al. (2022),172.49227040934653
453,no transition,Technology-specific - Way et al. (2022),215.5909899882697
454,no transition,Technology-specific - Way et al. (2022),190.27747897053436
455,no transition,Technology-specific - Way et al. (2022),183.67784645991753
456,no transition,Technology-specific - Way et al. (2022),163.9984754250767
457,no transition,Technology-specific - Way et al. (2022),177.2313659898694
458,no transition,Technology-specific - Way et al. (2022),274.31699754010185
459,no transition,Technology-specific - Way et al. (2022),164.4493742116384
460,no transition,Technology-specific - Way et al. (2022),164.61575669088506
461,no transition,Technology-specific - Way et al. (2022),180.48899810562474
